Strategy,Overall Profit,Wins,Losses,Real Entrance,C+D,C-D,E*500,(B/H)*100,B/(E*500)*100,B/(500*150)*100,(G/F)*100
"3 days MACD, 5 minutes MACD, 1 week MACD, 2 hours MACD, 30 minutes MACD, 15 minutes MACD, 4 hours MACD, 1 day MACD, 1 hour MACD, 12 hours MACD, 8 hours MACD, 6 hours MACD, 15 minutes Bollinger, 15 minutes TSI, 5 minutes EMA, 1 hour KDJ",696951.0351000011,3601,1250,134,4851,2351,67000,1040.2254255223897,1040.2254255223897,929.2680468000015,48.464234178519895
"30 minutes KDJ, 30 minutes RSI, 30 minutes Bollinger, 30 minutes TSI, 5 minutes MA, 15 minutes RSI, 5 minutes Bollinger, 5 minutes SuperTrend Vs DEMA, 15 minutes EMA, 15 minutes MA, 1 hour RSI, 1 week KDJ, 5 minutes TSI, 15 minutes KDJ, 3 days TSI, 5 minutes KDJ",103514.46750000014,764,283,46,1047,481,23000,450.0629021739137,450.0629021739137,138.01929000000018,45.94078319006686
"5 minutes RSI, 1 hour Bollinger, 2 hours KDJ, 15 minutes SuperTrend Vs DEMA, 1 day SuperTrend Vs DEMA, 30 minutes EMA, 3 days RSI, 1 hour TSI",46913.58749999993,206,55,18,261,151,9000,521.2620833333325,521.2620833333325,62.55144999999991,57.8544061302682
