Strategy name,Entry time,Symbol,Entry price,Entry indicators,Exit time,Exit price,PnL %,PnL,1 minute MACD,1 minute RSI,1 minute KDJ,1 minute EMA,1 minute MA,1 minute TSI,1 minute SuperTrend Vs DEMA,1 minute Bollinger,3 minutes MACD,3 minutes RSI,3 minutes KDJ,3 minutes EMA,3 minutes MA,3 minutes TSI,3 minutes SuperTrend Vs DEMA,3 minutes Bollinger,5 minutes MACD,5 minutes RSI,5 minutes KDJ,5 minutes EMA,5 minutes MA,5 minutes TSI,5 minutes SuperTrend Vs DEMA,5 minutes Bollinger,15 minutes MACD,15 minutes RSI,15 minutes KDJ,15 minutes EMA,15 minutes MA,15 minutes TSI,15 minutes SuperTrend Vs DEMA,15 minutes Bollinger,30 minutes MACD,30 minutes RSI,30 minutes KDJ,30 minutes EMA,30 minutes MA,30 minutes TSI,30 minutes SuperTrend Vs DEMA,30 minutes Bollinger,1 hour MACD,1 hour RSI,1 hour KDJ,1 hour EMA,1 hour MA,1 hour TSI,1 hour SuperTrend Vs DEMA,1 hour Bollinger,2 hours MACD,2 hours RSI,2 hours KDJ,2 hours EMA,2 hours MA,2 hours TSI,2 hours SuperTrend Vs DEMA,2 hours Bollinger,4 hours MACD,4 hours RSI,4 hours KDJ,4 hours EMA,4 hours MA,4 hours TSI,4 hours SuperTrend Vs DEMA,4 hours Bollinger,6 hours MACD,6 hours RSI,6 hours KDJ,6 hours EMA,6 hours MA,6 hours TSI,6 hours SuperTrend Vs DEMA,6 hours Bollinger,8 hours MACD,8 hours RSI,8 hours KDJ,8 hours EMA,8 hours MA,8 hours TSI,8 hours SuperTrend Vs DEMA,8 hours Bollinger,12 hours MACD,12 hours RSI,12 hours KDJ,12 hours EMA,12 hours MA,12 hours TSI,12 hours SuperTrend Vs DEMA,12 hours Bollinger,1 day MACD,1 day RSI,1 day KDJ,1 day EMA,1 day MA,1 day TSI,1 day SuperTrend Vs DEMA,1 day Bollinger,3 days MACD,3 days RSI,3 days KDJ,3 days EMA,3 days MA,3 days TSI,3 days SuperTrend Vs DEMA,3 days Bollinger,1 week MACD,1 week RSI,1 week KDJ,1 week EMA,1 week MA,1 week TSI,1 week SuperTrend Vs DEMA,1 week Bollinger,1 month MACD,1 month RSI,1 month KDJ,1 month EMA,1 month MA,1 month TSI,1 month SuperTrend Vs DEMA,1 month Bollinger
1 hour MACD,7/17/2023 22:00,REQUSDT,0.0809,MACD KDJ RSI TSI Bollinger,7/18/2023 7:00,0.0792,-2.101359703,-0.0017,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,n,y,n,y,y,y,y,n,n,y,n,y,y,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,n,n,y,n,y,y,n,y,y,y,y,y,y,y,n,n,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour MACD,8/4/2023 1:00,BCHUSDT,228.5,MACD KDJ RSI Bollinger,8/4/2023 19:00,223.7,-2.100656455,-4.8,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,y,n,n,y,y,n,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n
1 hour MACD,7/17/2023 5:00,IRISUSDT,0.02287,MACD Bollinger,7/17/2023 11:00,0.02239,-2.098819414,-0.00048,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,y,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,n,n,n,n,y,n,y,n,n,y,y,n,y,n,y,n,n,y,y,n,y,n,y,n,n,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour MACD,7/14/2023 17:00,TFUELUSDT,0.0429,MACD KDJ RSI,7/14/2023 18:00,0.042,-2.097902098,-0.0009,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour MACD,7/13/2023 16:00,BCHUSDT,286,MACD RSI,7/13/2023 17:00,280,-2.097902098,-6,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,y,y,y,y,y,y,y,y,y,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,n,n,y,y,y,n,y,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n
1 hour MACD,8/16/2023 18:00,XLMUSDT,0.1289,MACD KDJ,8/16/2023 21:00,0.1262,-2.094647013,-0.0027,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,n,n,y,n,y,y,y,y,n,n,y,n,y,y,y,y,n,n,y,n,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,y,n,y,n,n,y,y,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n
1 hour MACD,7/30/2023 17:00,ZECUSDT,30.1,MACD,7/30/2023 20:00,29.47,-2.093023256,-0.63,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,y,n,n,y,y,n,n,y,y,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,y,y,n,n,y,n,n,n,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,y,n,y,y,n,n,n,y,n,y,y,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n
1 hour MACD,7/31/2023 1:00,TFUELUSDT,0.043,MACD TSI Bollinger,7/31/2023 17:00,0.0421,-2.093023256,-0.0009,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,y,y,n,n,y,n,y,y,y,y,n,n,y,n,y,y,n,y,n,n,n,n,n,y,n,n,n,y,n,y,n,y,n,n,y,y,n,y,n,y,n,n,y,y,n,y,n,y,n,n,y,y,n,y,n,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour MACD,7/30/2023 19:00,TRBUSDT,12.43,MACD,7/30/2023 20:00,12.17,-2.091713596,-0.26,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,y,n,n,y,y,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,y,n,n,y,n,y,n,n,y,y,n,y,n,y,n,n,y,y,n,y,y,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour MACD,7/30/2023 19:00,GTCUSDT,1.004,MACD,7/30/2023 20:00,0.983,-2.091633466,-0.021,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,n,n,n,n,n,y,n,y,n,n,n,y,n,y,n,n,y,y,y,y,n,y,y,n,y,y,y,n,y,y,n,n,n,n,y,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,n,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour MACD,7/16/2023 16:00,FETUSDT,0.2445,MACD TSI,7/16/2023 20:00,0.2394,-2.085889571,-0.0051,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,n,y,n,y,y,y,y,n,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
