Strategy name,Entry time,Symbol,Exit time,PnL,1 minute MACD,1 minute RSI,1 minute KDJ,1 minute EMA,1 minute MA,1 minute TSI,1 minute SuperTrend Vs DEMA,1 minute Bollinger,3 minutes MACD,3 minutes RSI,3 minutes KDJ,3 minutes EMA,3 minutes MA,3 minutes TSI,3 minutes SuperTrend Vs DEMA,3 minutes Bollinger,5 minutes MACD,5 minutes RSI,5 minutes KDJ,5 minutes EMA,5 minutes MA,5 minutes TSI,5 minutes SuperTrend Vs DEMA,5 minutes Bollinger,15 minutes MACD,15 minutes RSI,15 minutes KDJ,15 minutes EMA,15 minutes MA,15 minutes TSI,15 minutes SuperTrend Vs DEMA,15 minutes Bollinger,30 minutes MACD,30 minutes RSI,30 minutes KDJ,30 minutes EMA,30 minutes MA,30 minutes TSI,30 minutes SuperTrend Vs DEMA,30 minutes Bollinger,1 hour MACD,1 hour RSI,1 hour KDJ,1 hour EMA,1 hour MA,1 hour TSI,1 hour SuperTrend Vs DEMA,1 hour Bollinger,2 hours MACD,2 hours RSI,2 hours KDJ,2 hours EMA,2 hours MA,2 hours TSI,2 hours SuperTrend Vs DEMA,2 hours Bollinger,4 hours MACD,4 hours RSI,4 hours KDJ,4 hours EMA,4 hours MA,4 hours TSI,4 hours SuperTrend Vs DEMA,4 hours Bollinger,6 hours MACD,6 hours RSI,6 hours KDJ,6 hours EMA,6 hours MA,6 hours TSI,6 hours SuperTrend Vs DEMA,6 hours Bollinger,8 hours MACD,8 hours RSI,8 hours KDJ,8 hours EMA,8 hours MA,8 hours TSI,8 hours SuperTrend Vs DEMA,8 hours Bollinger,12 hours MACD,12 hours RSI,12 hours KDJ,12 hours EMA,12 hours MA,12 hours TSI,12 hours SuperTrend Vs DEMA,12 hours Bollinger,1 day MACD,1 day RSI,1 day KDJ,1 day EMA,1 day MA,1 day TSI,1 day SuperTrend Vs DEMA,1 day Bollinger,3 days MACD,3 days RSI,3 days KDJ,3 days EMA,3 days MA,3 days TSI,3 days SuperTrend Vs DEMA,3 days Bollinger,1 week MACD,1 week RSI,1 week KDJ,1 week EMA,1 week MA,1 week TSI,1 week SuperTrend Vs DEMA,1 week Bollinger,1 month MACD,1 month RSI,1 month KDJ,1 month EMA,1 month MA,1 month TSI,1 month SuperTrend Vs DEMA,1 month Bollinger
1 hour EMA,7/16/2023 2:00,XECUSDT,7/16/2023 13:00,-3.620634412,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/18/2023 1:00,XECUSDT,7/18/2023 12:00,-3.68,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,n,y,y,n,n,y,y,n,n,n,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/1/2023 18:01,XECUSDT,8/2/2023 8:01,-1.294917449,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,n,y,y,n,y,n,n,n,y,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,y,n,y,y,n,n,n,y,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/23/2023 19:00,XECUSDT,7/24/2023 2:00,-1.858974359,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,y,n,n,n,y,n,n,n,y,y,n,y,y,n,y,y,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/1/2023 1:00,XECUSDT,8/1/2023 2:01,-1.376,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,y,n,n,y,y,y,n,n,y,y,n,y,n,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,y,n,y,y,n,n,n,y,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/30/2023 15:00,XECUSDT,7/31/2023 21:00,-3.050314465,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,y,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/18/2023 20:00,XECUSDT,7/20/2023 5:00,0.549273021,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,n,y,n,y,n,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/22/2023 3:00,XECUSDT,7/22/2023 4:00,-0.348542459,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,n,y,n,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,n,y,n,n,y,y,n,n,n,n,y,n,y,y,n,y,y,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/20/2023 8:00,XECUSDT,7/20/2023 21:00,0.031675641,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,y,y,y,n,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,y,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/21/2023 1:00,XECUSDT,7/21/2023 9:00,-1.615910503,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,n,y,y,n,n,y,y,n,y,y,y,n,y,y,y,n,n,y,y,n,y,y,n,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,y,y,n,n,n,y,n,n,y,y,n,y,n,n,y,n,y,y,n,y,y,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,7/12/2023 10:00,XECUSDT,7/12/2023 20:01,-1.945525292,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,n,n,y,y,n,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,n,y,n,y,y,n,n,n,n,y,n,n,y,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n
1 hour EMA,8/19/2023 5:00,DENTUSDT,8/20/2023 8:00,-0.744047619,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,y,n,n,y,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/31/2023 3:00,DENTUSDT,7/31/2023 5:00,-1.466666667,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,y,n,y,y,n,y,n,n,n,n,y,y,n,y,y,y,n,n,n,y,n,n,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,n,n,y,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/31/2023 9:00,DENTUSDT,7/31/2023 11:00,-0.669344043,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,y,n,y,y,n,y,y,y,y,y,y,y,n,n,y,y,y,n,y,y,n,y,n,n,n,n,y,y,n,y,y,n,n,n,n,y,n,n,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,n,n,y,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/1/2023 13:01,DENTUSDT,8/2/2023 17:00,0.134770889,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,y,n,y,y,n,n,y,n,n,n,y,y,n,n,y,n,n,n,n,y,n,y,y,n,y,n,n,n,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/4/2023 14:00,DENTUSDT,8/4/2023 21:00,-1.19205298,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,y,y,n,y,n,y,y,y,y,n,y,y,n,y,y,y,y,y,y,y,n,y,y,n,n,n,y,y,n,n,y,n,n,y,y,y,n,n,y,y,n,n,y,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,y,n,n,n,y,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/2/2023 23:00,DENTUSDT,8/3/2023 8:00,-1.583113456,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,n,y,y,y,n,y,y,y,n,y,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,n,n,y,n,y,y,y,y,n,y,y,n,y,n,n,y,n,y,y,n,y,n,n,n,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/3/2023 20:00,DENTUSDT,8/4/2023 8:00,-1.578947368,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,n,y,y,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,y,n,n,n,y,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/3/2023 12:00,DENTUSDT,8/3/2023 16:00,-1.708278581,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,n,n,y,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,y,y,y,y,n,n,y,n,y,y,y,y,n,y,y,n,y,n,n,n,y,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/5/2023 1:00,DENTUSDT,8/5/2023 12:00,-1.445466491,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,y,n,y,y,y,y,n,n,y,y,n,y,y,y,n,n,y,y,n,n,y,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,n,y,y,n,y,n,n,n,y,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/26/2023 16:00,DENTUSDT,7/29/2023 17:01,5.042016807,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,n,n,y,n,y,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/12/2023 13:00,DENTUSDT,7/12/2023 20:00,-1.815823606,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,y,n,n,y,y,y,n,y,y,n,y,n,y,y,n,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,y,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/12/2023 3:00,DENTUSDT,7/12/2023 12:00,-0.520156047,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,n,n,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,y,y,y,n,y,y,n,y,n,y,y,n,y,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,y,y,y,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/10/2023 20:00,DENTUSDT,7/11/2023 13:01,-1.920614597,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,n,n,y,n,y,y,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,y,n,y,y,y,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/10/2023 13:01,DENTUSDT,8/10/2023 18:00,-1.025641026,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,n,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,n,n,y,y,n,y,y,y,y,n,y,y,n,y,n,n,n,y,n,y,n,y,y,n,n,y,n,y,n,n,y,y,n,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,y,y,y,y,y,n,n,y,n,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/6/2023 1:00,DENTUSDT,8/8/2023 2:00,1.178010471,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,n,y,n,y,n,n,y,n,n,n,n,y,n,n,y,y,n,n,n,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,y,y,n,y,n,n,n,y,n,y,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/10/2023 2:00,DENTUSDT,8/10/2023 12:00,-1.149425287,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,y,n,y,y,n,y,n,n,n,y,y,y,n,n,y,n,n,y,n,y,n,n,y,y,n,y,y,y,n,n,y,y,y,y,y,y,n,n,y,y,y,n,y,y,n,y,y,y,y,y,y,y,y,y,n,n,y,n,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,8/8/2023 12:00,DENTUSDT,8/9/2023 0:00,-0.76433121,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,y,n,n,y,y,y,n,y,y,n,n,y,y,y,n,n,y,y,y,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/20/2023 9:00,DENTUSDT,7/20/2023 17:00,-2.012578616,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,n,y,y,n,y,n,n,n,n,y,y,n,y,n,n,n,n,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,y,n,y,n,y,n,n,y,y,n,y,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/22/2023 21:00,DENTUSDT,7/23/2023 0:00,-1.639344262,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,n,y,y,n,y,n,n,n,n,y,y,n,y,y,y,n,n,y,y,n,n,y,y,y,n,n,y,n,n,n,y,y,n,y,y,n,y,n,n,n,y,n,y,n,y,n,n,n,y,n,y,n,y,n,n,n,y,n,y,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
1 hour EMA,7/21/2023 2:00,DENTUSDT,7/21/2023 10:00,-1.75879397,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,y,n,y,y,n,y,n,n,y,n,y,y,n,n,n,n,n,n,n,y,n,y,n,n,n,y,n,y,n,n,n,n,n,y,n,y,n,n,n,y,n,y,n,y,y,n,y,y,n,y,n,y,y,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
