Strategy,Overall Profit,Wins,Losses,Real Entrance,C+D,C-D,E*500,(B/H)*100,B/(E*500)*100,B/(500*150)*100,(G/F)*100
"6 hours MACD, 1 hour MACD, 4 hours MACD, 30 minutes MACD, 15 minutes MACD, 12 hours MACD, 3 days MACD, 1 week MACD, 2 hours MACD, 1 day MACD, 5 minutes MACD, 8 hours MACD, 15 minutes Bollinger, 15 minutes TSI, 5 minutes EMA, 1 hour KDJ",2850.4325528950003,1182,3669,134,4851,-2487,67000,4.254376944619404,4.254376944619404,3.8005767371933334,-51.267779839208416
"30 minutes KDJ, 30 minutes RSI, 30 minutes Bollinger, 5 minutes MA, 30 minutes TSI, 15 minutes RSI, 5 minutes Bollinger, 5 minutes SuperTrend Vs DEMA, 15 minutes EMA, 15 minutes MA, 1 hour RSI, 1 week KDJ, 5 minutes TSI, 15 minutes KDJ, 3 days TSI, 5 minutes KDJ",684.6257078539999,268,779,46,1047,-511,23000,2.976633512408695,2.976633512408695,0.9128342771386666,-48.80611270296084
"5 minutes RSI, 1 hour Bollinger, 2 hours KDJ, 15 minutes SuperTrend Vs DEMA, 1 day SuperTrend Vs DEMA, 30 minutes EMA, 3 days RSI, 1 hour TSI",136.161328521,52,209,18,261,-157,9000,1.5129036502333333,1.5129036502333333,0.181548438028,-60.15325670498084
