Indicator,Wins,Losses,Total Trades,Overall Profit,Win Rate
3 minutes TSI,0,0,0,0.0,0.0
3 minutes MA,0,0,0,0.0,0.0
3 minutes EMA,0,0,0,0.0,0.0
3 minutes KDJ,0,0,0,0.0,0.0
3 minutes RSI,0,0,0,0.0,0.0
3 minutes MACD,0,0,0,0.0,0.0
1 minute Bollinger,0,0,0,0.0,0.0
1 minute SuperTrend Vs DEMA,0,0,0,0.0,0.0
1 minute TSI,0,0,0,0.0,0.0
1 minute MA,0,0,0,0.0,0.0
1 minute EMA,0,0,0,0.0,0.0
1 minute KDJ,0,0,0,0.0,0.0
1 month Bollinger,0,0,0,0.0,0.0
